catalogue id	input name	verdict	COHO ID	label	acronym synonyms	other synonyms	type	same as	clashes with	example study	example PMID	example title	example quote	example quote URL	definition	definition source	drafted by	countries	location quote	location URL	parent	parent relation	parent quote	parent URL	note
Golestan Cohort Study	Golestan Cohort Study	mint cohort	COHO:0002671	Golestan Cohort Study	GCS	Golestan cohort study	cohort				PMID:37781157		Incident cancers attributable to using opium and smoking cigarettes in the Golestan cohort study	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10541463/fullTextXML	A population-based prospective cohort of adults aged 40 to 75 years enrolled between 2004 and 2008 from rural and urban areas of Golestan province in northeast Iran, set up to study oesophageal cancer and followed for cancers and other outcomes, including those attributable to opium use and smoking.	PMID:37781157 | PMID:19332502	Claude Opus 5.5 (Anthropic), 2026-09	Iran	Briefly, GCS is a prospective study of 50,045 adults, aged 40–75 years, who were enrolled between 2004 and 2008, from 329 rural and urban areas of the Golestan province in northeast Iran.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10541463/fullTextXML					IHCC Cohort Atlas entry "Golestan Cohort Study" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. No COHO term has Golestan or the acronym GCS (COHO:0000268 has the synonym 'ICGC GCS', a different string). The atlas's website link (GEMShare study page) now returns 'page not found'. The oesophageal-cancer purpose rests on the profile's title; the rest of the definition on the Alcala paper's methods. Acronym GCS is used for the cohort in the Alcala paper ('Golestan Cohort Study (GCS)'). Could not read: PMID:19332502 (cohort profile, full text not available; requested).
Estonian Biobank	Estonian Biobank	existing	COHO:0000064			Estonian Biobank																			IHCC Cohort Atlas entry "Estonian Biobank" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
Danish National Birth Cohort/Statens Serum Institut	Danish National Birth Cohort/Statens Serum Institut	existing	COHO:0000748			Danish National Birth Cohort/Statens Serum Institut																			IHCC Cohort Atlas entry "Danish National Birth Cohort/Statens Serum Institut" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry is the Danish National Birth Cohort (website dnbc.dk, 1996-2002 enrolment), with its host institution appended; the cohort's website gives its contact as 'Danish National Birth Cohort Danish National Biobank Statens Serum Institut'. Same people as COHO:0000748, which already has DNBC. The atlas's combined name is offered as a synonym because the catalogue tags it; the curator may prefer to leave it out as it names the institution too.
Norwegian Family Based Life Course Study	Norwegian Family Based Life Course Study	mint cohort	COHO:0002672	Norwegian Family Based Life Course Study	NFLC	Norwegian Family Based Life Course (NFLC) study|Norwegian family based life course study	cohort				PMID:34650201		Data from the Armed Forces Personnel Data Base (1985-2012) were linked with data from the Norwegian Population Registry, generational data from the Norwegian Family Based Life Course Study (NFLC), National Educational Registry and the Cause of Death Registry using the unique national personal identification numbers.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7612210/fullTextXML	A register-based cohort of everyone in Norway who took part in the national censuses from 1960 to 2001, in which family members are linked through personal identity numbers and household and family information from the 1960 census and further linked to health registers and surveys, for multigenerational life-course research in public health.	PMID:22735991	Claude Opus 5.5 (Anthropic), 2026-09	Norway	All Norwegians participating in censuses from 1960 to 2001 were included.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:22735991%20AND%20SRC:MED&resultType=core&format=json					IHCC Cohort Atlas entry "Norwegian Family Based Life Course Study" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas links the NFLC design paper. NFLC is a national census-and-register linkage, not a recruited sample, but it is a defined population (all census participants 1960-2001) followed over their life course, like the register cohorts COHO already holds. The atlas's enrolment period (2022) and size (7.4 million) do not match the paper (5,266,270 included); probably a later update. No COHO term resembles it. The synonym 'Norwegian family based life course study' is the case variant in the abbreviation list of PMID:28356092. Could not read: PMID:22735991 (design paper, full text).
NICCC	NICCC	not a cohort																							IHCC Cohort Atlas entry "NICCC" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. NICCC is the Clalit National Israeli Cancer Control Center in Haifa (director Gad Rennert), an institution, not a defined group of people. The atlas gives no description, only 50,000 enrolled since 2000, which matches the centre's population-based case-control studies run since 2000 (the Breast Cancer in Northern Israel Study, COHO:0001518, has enrolled since January 2000; also the Molecular Epidemiology of Colorectal Cancer study, COHO:0000618, and the lung cancer study NICCC-LCA, placeholder COHO:0002150), and in consortia the name tags different samples (a BRCA carrier series from its familial cancer service in CIMBA). No source says which people the atlas's 50,000 are. COHO already has the uncurated placeholder COHO:0002149 'National Israeli Cancer Control Center' (NICCC, from the PGS Catalog) for the same institution name; it should be resolved the same way (obsoleted, or pointed to the specific study the PGS Catalog sample used), and could take 'NICCC' from this atlas entry if kept. The IHCC site's page on the lead investigator (ihccglobal.org/gad-rennert-m-d-ph-d/) returns 404.
Tohoku University, Tohoku Medical Megabank Organization	Tohoku University, Tohoku Medical Megabank Organization	existing	COHO:0000533			Tohoku University, Tohoku Medical Megabank Organization|Tohoku University Tohoku Medical Megabank Organization																			IHCC Cohort Atlas entry "Tohoku University, Tohoku Medical Megabank Organization" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry is the institution that runs the Tohoku Medical Megabank Project, and its numbers (150,000 enrolled, target 157,000) are the two TMM cohorts together, the CommCohort (COHO:0000938) and BirThree (COHO:0000939) studies. COHO:0000533 (cohort aggregation, synonym 'Tohoku Medical Megabank Organization') is the project with both cohorts, so the entry is that term. Two placeholders look relevant for the curator: COHO:0002466 'The Tonhoku Medical Megabank Organisations' (a misspelt catalogue name for the same project, probably to be merged into COHO:0000533) and COHO:0001913 'Iwate Tohoku Medical Megabank' (the Iwate partner organisation).
Korean Cancer Prevention Study (KCPS-II Biobank)	Korean Cancer Prevention Study (KCPS-II Biobank)	existing	COHO:0000486		KCPS-II Biobank	Korean Cancer Prevention Study (KCPS-II Biobank)|Korean Cancer Prevention Study-II (KCPS-II) Biobank																			IHCC Cohort Atlas entry "Korean Cancer Prevention Study (KCPS-II Biobank)" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas links the KCPS-II Biobank cohort profile, lists Sun Ha Jee and enrolment 2004-2013 of 160,407, which is the KCPS-II Biobank, COHO:0000486. The atlas's name begins 'Korean Cancer Prevention Study', which is also the name of the earlier, separate KCPS (KCPS-I) cohort of National Health Insurance members; COHO:0000486 already carries the acronym KCPS, which strictly denotes that earlier cohort, and the curator may want to check that (no separate KCPS-I term exists in COHO). 'Korean Cancer Prevention Study-II (KCPS-II) Biobank' is the profile's title form. Could not read: PMID:29186422 (cohort profile full text).
Uganda General Population Cohort/Uganda Genome Resource/ MRC Uganda	Uganda General Population Cohort/Uganda Genome Resource/ MRC Uganda	existing	COHO:0000345		UGR	Uganda General Population Cohort/Uganda Genome Resource/ MRC Uganda																			IHCC Cohort Atlas entry "Uganda General Population Cohort/Uganda Genome Resource/ MRC Uganda" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry names the Uganda General Population Cohort (enrolment from 1989, about 22,000 people, matching 'approximately 22,000 individuals' in the UGR paper), its genomic resource (UGR) and the unit that runs it (MRC/UVRI and LSHTM Uganda Research Unit). COHO:0000345 already has 'Uganda Genome Resource' as a synonym; it lacks the acronym UGR (no other COHO term uses it). The atlas's combined string is offered as a synonym because the catalogue tags it; 'MRC Uganda' alone names the research unit and is not offered.
C19-GenoNet	C19-GenoNet	mint cohort	COHO:0002673	Chilean COVID-19 Biorepository	C19-GenoNet	Chilean COVID-19 Genomics Network Biorepository|COVID-19 Genomics Network|RED GENÓMICA COVID-19	cohort				PMID:40399555		For the replication of the FOXP4 lead variants, we obtained data from the following nine additional studies: COVID-19 cohort at LGDB (LatviaGDB), COVID-19 Genomics Network (C19-GenoNet), COVID-19 Host Immune Response Pathogenesis Study (CHIRP), Estonian Biobank (EstBB), Fondazione Genomics SARS-CoV-2 Study (FoGS), GENCOV Study (GENCOV), Mass General Brigham Biobank (MGB), The Post-hospitalization COVID-19 study (PHOSP-COVID) and VA MVP.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12165857/fullTextXML	A nationwide multicentre cohort of adults with confirmed SARS-CoV-2 infection, from asymptomatic to fatal, recruited from September 2020 into 2021 through nine recruitment centres in seven regions of Chile by a network of Chilean universities and health centres coordinated by the University of Chile's Biobank of Tissue and Fluids, with blood samples and clinical data banked for multi-omics studies of host genetics and COVID-19 severity, and recontacted for long COVID follow-up; the network behind it became the COVID-19 Genomics Network (C19-GenoNet).	PMID:39596552 | https://biobanco.uchile.cl/proyecto-c19-genonet-2/	Claude Opus 5.5 (Anthropic), 2026-09	Chile	This paper reports the articulation of a network across Chile and the creation of the Chilean COVID-19 Biorepository, the first nationwide multicenter repository built under biobanking standards to ensure the high quality, reproducibility, and interoperability of samples and data as a resource for collaborative multi-omics research.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11593408/fullTextXML					IHCC Cohort Atlas entry "C19-GenoNet" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. C19-GenoNet is the Chilean COVID-19 genomics network whose participants are those of the Chilean COVID-19 Biorepository (2,262 adults enrolled from September 2020, most intensively October 2020 to February 2021; the atlas says 2020-2021, 3,000). The design paper calls the cohort 'the Chilean COVID-19 Biorepository' throughout and 'The Chilean COVID-19 Genomics Network Biorepository' in its title, and says 'our team founded the COVID-19 Genomics Network (C19-GenoNet)'; the long-COVID GWAS tags the sample 'COVID-19 Genomics Network (C19-GenoNet)'. The label could equally be the title form; the curator should pick. No COHO term resembles it. The recruitment end date is not stated exactly; 'into 2021' rests on the recruitment figure (a June 2021 entry is said to be a data correction). It may be a member of the COVID-19 Host Genetics Initiative if COHO has that aggregation; no source read here says so directly.
UK Blood Donor Cohorts	UK Blood Donor Cohorts	unresolved		Blood Donors Studies		UK Blood Donor Cohorts|Blood Donor Studies BioResource|Blood Donors BioResource	cohort aggregation						Analysing 153,565 subjects from the INTERVAL, COMPARE and STRIDES studies, we show that CBC screening has only 40.5 % sensitivity for ID detection, falling to 21.9 % for NAID, highlighting a detection gap.	https://europepmc.org/article/PPR/PPR1039623	The blood donor studies of the NIHR Blood and Transplant Research Unit in Donor Health at the University of Cambridge with NHS Blood and Transplant (INTERVAL, COMPARE and STRIDES, with the recall studies CARRIAGE and TRACK-COVID), multi-purpose, multi-stage studies of blood donors recruited in England whose participants form a bioresource with genetic, biomarker and linked health-record data.	https://www.gov.uk/data-access-approvals-register/2624-blood-doners-studies-bioresource-research-database | https://www.donorhealth-btru.nihr.ac.uk/studies/	Claude Opus 5.5 (Anthropic), 2026-09	United_Kingdom	The INTERVAL, COMPARE and STRIDES BioResource studies (collectively known as the Blood Donors Studies) are multi-purpose, multi-stage research projects involving blood donors recruited in England.	https://www.gov.uk/data-access-approvals-register/2624-blood-doners-studies-bioresource-research-database					IHCC Cohort Atlas entry "UK Blood Donor Cohorts" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas's website is the INTERVAL study site (now returning a server error) and its numbers (2012 onwards, 100,000 enrolled, target 300,000) cover more than INTERVAL alone, so the entry is the University of Cambridge/NHSBT blood donor studies together, which their own sources call the 'Blood Donors Studies' (and the 'Blood Donor Studies BioResource'). Members in COHO: INTERVAL (COHO:0000184) and COMPARE (COHO:0000237); STRIDES (Strategies to Improve Donor Experiences, England 2019-2022, from PMID:41268819) is not in COHO and would need its own term to be a member. The example is a preprint without a PMID (the only source found that analyses the three studies together); a peer-reviewed paper would be better if one appears. Not the same as COHO:0000347 (UK Blood Service Control Group, the WTCCC controls) or COHO:0000123 (NHS Blood and Transplant). The country quote says England; United_Kingdom is the nearest name in gaz_xrefs.tsv. Not minted on 2026-09-25: no paper with a PMID uses the three studies together (its example is a preprint); the record above is kept.
