COHO ID,label,type,review rows,GWAS tags,PGS ids,status,definition verdict,current definition,current definition source,proposed definition,proposed definition source,problems,corrections,definition checked against,evidence URL,evidence quote,papers checked,checked by
COHO:0000474,Africa America Diabetes Mellitus Study,cohort,125,AADM,AADM,CONFIRMED,correct,"A genetic epidemiology study of type 2 diabetes begun in 1997 as a collaboration of West African and US investigators, enrolling affected sib-pairs with type 2 diabetes and unaffected controls in Ghana and Nigeria and later participants in Eldoret, Kenya, to map type 2 diabetes susceptibility genes in the West African ancestral populations of African Americans.",PMID:11164120|https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8499470/fullTextXML,,,,,"PMID:11164120 (design paper abstract: began June 1997; 'international collaboration between West African and US investigators'; affected sib-pairs and unaffected spouse controls in Ghana (Accra, Kumasi) and Nigeria (Enugu, Ibadan, Lagos); aim 'to map type 2 diabetes susceptibility genes in West African ancestral populations of African-Americans') | PMID:34620218 (PMC8499470 Methods: data collected in Nigeria, Ghana 'and in the city of Eldoret in Kenya') | PMID:31324766 (PMC6642147: 'a study of the genetic epidemiology of T2D in Africa that enrolled participants from Nigeria, Ghana, and Kenya') | PMID:26507551 (majority of the MetS GWAS participants recruited in 2008)",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:11164120%20AND%20SRC:MED&resultType=core&format=json,"The purpose of this study is to map type 2 diabetes susceptibility genes in West African ancestral populations of African-Americans, through an international collaboration between West African and US investigators.","PMID:34620218 ok (example; 4432 continental Africans from Ghana, Kenya and Nigeria in the AADM study); PMID:35546142 ok (AADM summary statistics, 'the Africa-America Diabetes Mellitus (AADM) study'); PMID:26507551 ok (BioC: 'participants enrolled in the Africa America Diabetes Mellitus (AADM) study with centers in Ghana and Nigeria (AF1) and Kenya (AF2)'); PMID:34117260 ok (West Africans of 'the parent AADM study'); PMID:38190104 ok ('West Africans (AADM)', Nigeria and Ghana). PGS Catalog AADM = 'Africa America Diabetes Mellitus'.","Claude Opus 5.5 (Anthropic), 2026-09"
COHO:0000475,Danish Blood Donor Study,cohort,126,DBDS,DBDS,CONFIRMED,correct,"An ongoing nationwide prospective cohort of blood donors aged 18-70 at inclusion, recruited at Danish blood donation facilities since 2010 (all facilities in Denmark by 2015), with questionnaires, plasma samples, genotyping and linkage to national health registries for research on donor health and general public health.",PMID:36194120,,,,,"PMID:36194120 (Cohort Profile, OA full text PMC10244044); PMID:31182452 (DBDS Genomic Cohort, abstract)",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10244044/fullTextXML,"The DBDS is an ongoing, national prospective cohort of blood donors.","PMID:42521817 ok (DBDS with Copenhagen Hospital Biobank); PMID:40205036 ok (DBDS Genomic Consortium); PMID:40229599 ok (CHB/DBDS); PMID:37798380 ok (DBDS named only in Supplementary Information MOESM1: 'Danish Blood Donor Study (DBDS)'; tagged with CHB for maternal/paternal genomes); PMID:38228779 ok (example, DBDS-only GWAS); PMID:41419686 ok (CHB/DBDS); PMID:36376028 ok (abstract-only, DBDS Genomic Consortium in author list); PMID:37012456 ok; PMID:41238958 ok (CHB-CID/DBDS); PMID:40038546 ok (DBDS Genomic Consortium); PMID:40399555 ok; PMID:40823170 ok (CHB-CC/DBDS); PMID:35332129 ok; PMID:38671141 ok (DBDS Genomic Cohort); PMID:39103364 ok-ish (main text only says 'Danish (940 cases, 91,744 controls)', cohort not named); PMID:39643614 ok; PMID:42178310 ok. PGS Catalog cohort DBDS = 'Danish Blood Donor Study'. No duplicate (COHO:0000046 Copenhagen Hospital Biobank is a different cohort). 'DBDS Genomic Cohort' names the genotyped part of DBDS (PMID:31182452), not a different cohort, so the synonym can stay.","Claude Opus 5.5 (Anthropic), 2026-09"
COHO:0000476,Howard University Family Study,cohort,127,HUFS,HUFS,CONFIRMED,correct,"A population-based family study of African Americans from the Washington, DC metropolitan area, enrolling randomly ascertained families and unrelated individuals through Howard University without selection on any phenotype, to study the genetic and environmental basis of common complex diseases including hypertension, obesity and type 2 diabetes.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC2702100/fullTextXML|https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8499470/fullTextXML,,,,,"PMID:19609347 (https://www.ebi.ac.uk/europepmc/webservices/rest/PMC2702100/fullTextXML, Methods 'Study sample' and footnotes) | PMID:34620218 (https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8499470/fullTextXML, 'Replication cohorts')",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC2702100/fullTextXML,"The subjects studied were all participants in the Howard University Family Study (HUFS), a population based family study of African Americans in the Washington metropolitan area.","PMID:34620218 ok (HUFS one of five AA replication cohorts); PMID:33713608 ok (Table S1, https://ars.els-cdn.com/content/image/1-s2.0-S0002929721000537-mmc2.xlsx: 'HUFS | Howard University Family Study | African Americans | Population-based'); PMID:35551307 ok (Supplementary Table 1: 'HUFS | Howard University Family Study | 19609347'); PMID:38190104 ok (acknowledgements: 'Howard University Family Study (HUFS)'); PGS Catalog cohort HUFS = 'Howard University Family Study'","Claude Opus 5.5 (Anthropic), 2026-09"
COHO:0000477,Stabilization of Atherosclerotic Plaque by Initiation of Darapladib Therapy Trial,cohort,128,STABILITY,STABILITY,FIX,correct,"An international randomized, placebo-controlled trial of darapladib, a lipoprotein-associated phospholipase A2 inhibitor, in 15,828 patients with chronic coronary heart disease recruited at 663 centers in 39 countries from December 2008 to April 2010 and sponsored by GlaxoSmithKline, whose baseline plasma biobank has been used for biomarker, proteomic and genetic studies of cardiovascular outcomes.",PMID:33439866|PMID:24678955,,,"Definition correct, and identity, name and type are right. Missing aggregation membership: the only tagged paper (PMID:37563310) is the SCALLOP Consortium's INF1 pQTL study ('This work was performed under the auspices of the SCALLOP Consortium'), and its Supplementary Table 1, 'Overview of participating cohorts in the SCALLOP INF1 study', lists STABILITY. SCALLOP is already in COHO as aggregation COHO:0000398, which has no hasCohort members at all. Minor: the trial's own acronym-forming expansion 'STabilization of Atherosclerotic plaque By Initiation of darapLadIb TherapY', used in PMC7817029 and noted by the drafter, is not a synonym; under the capitalisation rule it should be. Countries stay empty: no source read names the 39 countries.",parent=COHO:0000398 (Systematic and Combined Analysis of Olink Proteins) ;; parent relation=hasCohort (COHO:0000398 hasCohort COHO:0000477) ;; other synonyms=STABILITY trial | STabilization of Atherosclerotic plaque By Initiation of darapLadIb TherapY,"PMID:24678955 (NEJM abstract: double-blind, 15,828 patients with stable CHD, darapladib 160 mg vs placebo, 'Funded by GlaxoSmithKline', NCT00799903) | PMID:33439866 (PMC7817029: 'The patients were recruited in 663 centers in 39 countries from December 2008 to April 2010', 14,124 gave blood for the biomarker substudy, Olink proteomics) | PMID:37563310 (funding statement: GWASs and proteomics of STABILITY)",https://static-content.springer.com/esm/art%3A10.1038%2Fs41590-023-01588-w/MediaObjects/41590_2023_1588_MOESM5_ESM.xlsx,Supplementary Table 1: Overview of participating cohorts in the SCALLOP INF1 study ... STABILITY ... the Stabilization of Atherosclerotic Plaque by Initiation of Darapladib Therapy trial ... PMID: 33439866 ... Randomised controlled trial,"PMID:37563310 ok (example and only tagged paper; ST1 row STABILITY, n=2951, Illumina HumanOmniExpressExome-8). PGS Catalog STABILITY = 'The Stabilization of Atherosclerotic Plaque by Initiation of Darapladib Therapy Trial'.","Claude Opus 5.5 (Anthropic), 2026-09"
COHO:0000478,Swedish BioFINDER Study,cohort,130,Swedish BioFinder,Swedish BioFinder,FIX,needs correction,"A prospective, longitudinal cohort of cognitively unimpaired older adults and patients with mild cognitive impairment, dementias and parkinsonian disorders, recruited from 2009 to 2014 at three neurology and memory clinics in southern Sweden and studied with cerebrospinal fluid, plasma, imaging and genetic data to find biomarkers for early and reliable diagnosis of neurodegenerative disease.",PMID:36504281,"A prospective, longitudinal cohort, the first Swedish BioFINDER study (BioFINDER-1, NCT01208675), of cognitively unimpaired older adults and patients with mild cognitive impairment, dementias and parkinsonian disorders, recruited from 2009 to 2014 at three neurology and memory clinics in southern Sweden and followed for up to 10 years with cerebrospinal fluid, plasma, MRI, amyloid PET and genetic data to develop early and accurate diagnosis of Alzheimer disease, Parkinson disease and related disorders. It is distinct from the later, independent BioFINDER-2 study (NCT03174938), launched in 2017.",PMID:36504281|https://biofinder.se/one/|https://biofinder.se/two/,"definition facts correct for the study it describes (NCT01208675, recruited 2009-2014 at three neurology and memory clinics in southern Sweden, CU, MCI, dementias, parkinsonian disorders); the tag 'Swedish BioFinder' in its only paper (PMID:37563310, SCALLOP INF1, n=1496, reference PMID:36504281 = NCT01208675) is that same first study; type, country, no duplicate right. But the name is now ambiguous: biofinder.se uses 'The Swedish BioFINDER Study' for a set of 'independent and non-overlapping studies' (BioFINDER One 2009, BioFINDER Two 2017 (NCT03174938), Sleep, Preclinical AD, Primary Care, Memory Clinic), while this term and its definition are only the first study, now called BioFINDER-1 / BioFINDER One. Keep the label (it is that study's original name) but add the BioFINDER-1 names and say in the definition which study it is, so a later BioFINDER-2 term does not collide.","other synonyms=add 'BioFINDER-1' and 'BioFINDER One' ;; definition=A prospective, longitudinal cohort, the first Swedish BioFINDER study (BioFINDER-1, NCT01208675), of cognitively unimpaired older adults and patients with mild cognitive impairment, dementias and parkinsonian disorders, recruited from 2009 to 2014 at three neurology and memory clinics in southern Sweden and followed for up to 10 years with cerebrospinal fluid, plasma, MRI, amyloid PET and genetic data to develop early and accurate diagnosis of Alzheimer disease, Parkinson disease and related disorders. It is distinct from the later, independent BioFINDER-2 study (NCT03174938), launched in 2017. ;; definition source=PMID:36504281|https://biofinder.se/one/|https://biofinder.se/two/",PMID:36504281 (PMC9832827 full text)|https://biofinder.se/|https://biofinder.se/one/|https://biofinder.se/two/|https://static-content.springer.com/esm/art%3A10.1038%2Fs41590-023-01588-w/MediaObjects/41590_2023_1588_MOESM5_ESM.xlsx,https://biofinder.se/|https://biofinder.se/one/|https://biofinder.se/two/,"biofinder.se: ""The BioFINDER studies are independent and non-overlapping studies""; /one/: ""We initiated the Swedish BioFINDER (Biomarkers For Identifying Neurodegenerative Disorders Early and Reliably; NCT01208675 ) study in 2009"" ... ""with longitudnal follow-up up to 10 years. The subjects underwent repeated examinations of advanced MRI (including fMRI, DTI, DKI, ASL and MPRAGE), CSF and plasma analysis, amyloid PET""; /two/: ""The Swedish BioFINDER-2 study ( NCT03174938 ) was launched in 2017 and extends the previous BioFINDER-1 study using an independent population.""","PMID:37563310 ok (all 91 GCSTs; ST1 'Swedish BioFinder study', n=1496, reference PMID 36504281 = BioFINDER-1, NCT01208675). 'Swedish BioFinder' is not a PGS Catalog cohort id (REST returns nothing).","Claude Opus 5.5 (Anthropic), 2026-09"
COHO:0000479,CROATIA-Vis Study,cohort,131,VIS,VIS,FIX,correct,"A population-based cohort of 1,008 adult Croatians aged 18-93 from the isolated villages of Vis and Komiza on the Dalmatian island of Vis, Croatia, recruited in 2003 and 2004, genotyped and richly phenotyped for genetic studies of complex traits in an isolated population.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7337286/fullTextXML,,,"definition correct (1,008 Croatians aged 18-93 from Vis and Komiza, recruited 2003 and 2004, isolated population, genotyped and richly phenotyped: all in PMC7337286); identity correct (tag VIS in PMID:37563310 Supplementary Table 1 = 'Vis', population-based isolate, Illumina HumanHap300v1, the CROATIA-Vis array; PGS cohort VIS 'Vis Study' is used alongside ORCADES/CROATIA-KORCULA in SCALLOP and GIANT scores). Only gap: the term lacks the PGS Catalog and GWAS Catalog id CROATIA-VIS ('Vis Island Study (Croatia)'), the same Vis sub-cohort of 10,001 Dalmatians (PMID:37108169); review row 352 (verdict existing, COHO:0000479) already queues it, so nothing else is needed if that row is applied. Not yet linkable: the 10,001 Dalmatians umbrella is not in COHO (review row 392, 'mint aggregation', pending).",acronym synonyms=VIS|CROATIA-Vis|CROATIA-VIS ;; other synonyms=Vis Study|Vis Island Study (Croatia),"https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7337286/fullTextXML (PMID:32628676) | PMID:37108169 (PMC10138356) | PMID:19260138 (PMC2657560, 10,001 Dalmatians biobank editorial)",https://www.pgscatalog.org/rest/cohort/CROATIA-VIS | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10138356/fullTextXML,"""name_short"":""CROATIA-VIS"",""name_full"":""Vis Island Study (Croatia)"" | ""Here, we used the data from three sub-cohorts for which we had bacterial and viral infections disease data—Korčula (N = 2833), Vis (N = 1039) and Split (N = 1012).""","PMID:37563310 ok (Supplementary Table 1: VIS = 'Vis', 'Population-based isolate', n=899, Illumina HumanHap300v1); PGS cohort VIS scores PGS000217-295 (PMID:33067605), PGS000827/828 (PMID:31048771), PGS002802/2804 (PMID:36224396), PGS004864, PGS005170, PGS005198/5203 ok (listed with ORCADES/CROATIA-KORCULA)","Claude Opus 5.5 (Anthropic), 2026-09"
COHO:0000480,National Alzheimer's Coordinating Center,cohort aggregation,132; 234,ADC; NACC,ADC; NACC,FIX,correct,"A US data resource, founded in 1999 and funded by the National Institute on Aging, that combines the standardized longitudinal clinical (Uniform Data Set), neuropathology, imaging, biomarker and genetic data of participants of the NIA-funded Alzheimer's Disease Research Centers, more than 56,000 people from over 42 centers, for research on Alzheimer disease and related dementias.",PMID:41122833|https://naccdata.org/,,,"definition correct (founded 1999, NIA-funded, UDS/neuropathology/imaging/biomarker/genetic data of ADRC participants, 56,000+ participants, more than 42 ADRCs all confirmed); identity, label, type (aggregation) and country right. Tag NACC denotes this resource in all 5 PMIDs. Tag ADC (and PGS id ADC 'Alzheimer Disease Center') denotes the NIA Alzheimer's Disease Centers data coordinated by NACC in 4 PMIDs, but the Amsterdam Dementia Cohort (COHO:0000374) in PMID:36066633 and PMID:40379966, and in the PGS Catalog evaluation PPM012967 of PGS002280 (Bellenguez 2022, with DCN, FACE, AMC etc.); this is already covered by the shared-acronym editor notes on both terms, no change needed. Only gap: the aggregation lists no members although three NIA-funded ADRC cohorts already in COHO feed NACC.",members=COHO:0000366 (Charles F. and Joanne Knight Alzheimer Disease Research Center); COHO:0000379 (Stanford Alzheimer's Disease Research Center); COHO:0000414 (Wisconsin Alzheimer's Disease Research Center),PMID:41122833 (PMC12541278 full text)|https://naccdata.org/|PMID:37984853 (PMC10917043)|PMID:40111762 (PMC12295682),https://naccdata.org/|https://www.nia.nih.gov/health/clinical-trials-and-studies/alzheimers-disease-research-centers|https://static-content.springer.com/esm/art%3A10.1038%2Fs41588-022-01024-z/MediaObjects/41588_2022_1024_MOESM1_ESM.pdf,"naccdata.org: ""The National Alzheimer’s Coordinating Center (NACC) functions as the centralized data repository, and collaboration and communication hub, for the National Institute on Aging’s (NIA) Alzheimer’s Disease Research Centers (ADRC) Program."" NIA page: ""NIA funds Alzheimer's Disease Research Centers (ADRCs) at major medical and academic institutions across the United States."", listing ""Knight Alzheimer's Disease Research Center"", ""Stanford Alzheimer’s Disease Research Center"" and ""Wisconsin Alzheimer's Disease Research Center"".","NACC: PMID:37984853 ok; PMID:38184787 ok; PMID:42014397 ok; PMID:37700353 ok (example); PMID:40111762 ok. ADC: PMID:39633006 ok (NIA ADC1-12 datasets among the ADGC cohorts; supplement: 'NIA ADC Samples (ADC1-10): ... Data collection is coordinated by the National Alzheimer’s Coordinating Center (NACC)'); PMID:38784964 ok ('a Consortium of National Institute on Aging Alzheimer Disease Centers (ADC)'); PMID:42237039 ok ('ADC/NACC dataset'; Amsterdam tagged AmDem there); PMID:38958117 ok ('For the Alzheimer Disease Centers'); PMID:36066633 = Amsterdam Dementia Cohort (COHO:0000374) ('Amsterdam dementia Cohort (ADC)'); PMID:40379966 = Amsterdam Dementia Cohort (COHO:0000374) ('provided by the Amsterdam Dementia Cohort'). PGS id ADC ('Alzheimer Disease Center'): development samples of 12 scores (e.g. PGS000025, PGS000053, PGS000823, PGS005389), listed with the IGAP/ADGC cohorts = NIA ADCs (in PGS005389, from PMID:42237039, ADC and Amsterdam are separate cohorts); evaluation PPM012967 of PGS002280 (PMID:35379992) = Amsterdam Dementia Cohort (Bellenguez 2022 Supplementary Note: 'We used MCI patients from: the Dutch Amsterdam dementia cohort (ADC)').","Claude Opus 5.5 (Anthropic), 2026-09"
COHO:0000481,Singapore Prospective Study Program,cohort,133,SP2,SP2,CONFIRMED,correct,"A population-based study of diabetes and cardiovascular disease in Singapore that re-visited, between 2003 and 2007, Chinese, Malay and Asian-Indian adults randomly sampled for four earlier cross-sectional studies (the Thyroid and Heart Study, the 1992 and 1998 National Health Surveys and the National University of Singapore Heart Study), with questionnaires and clinical examinations.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8562625/supplementaryFiles|PMID:29477148,,,,,"supplement mmc1.pdf of PMID:34734193 (https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8562625/supplementaryFiles: population-based study of diabetes and cardiovascular disease, four cross-sectional studies 1982-1998, re-visited 2003-2007, 5,157 examined); PMID:29477148 (PMC6389173: the four named studies, random sampling, questionnaire and clinical examination); PMID:21490949 (PMC3072366: 'From 2003–2007, 10,747 participants were invited'); MEC cohort profile PMID:29452397 (https://academic.oup.com/ije/article/47/3/699/4857182: MEC 'formed by combining two existing population-based studies with measurements in the period 2004 to 2007, the Singapore Prospective Study Program (SP2) and the Singapore Cardiovascular Cohort Study (SCCS2)', which supports isSubCohortOf COHO:0000612)",,,"PMID:34734193 ok (supplement mmc1: 'SP2 (Singapore Prospective Study Program)'; example GCST90093191 cohorts MESA, SP2); PMID:40537477 ok (supplement MOESM1: 'SP2-1M / SP2-610 (Singapore Prospective Study Program)'); PMID:34887591 ok (GLGC ST.1: SP2-1M, SP2-550, SP2-610 'Singapore Prospective Study Program'); PMID:34059833 ok (MAGIC S1 cohort table: 'Singapore Prospective Study Program (SP2)'); PMID:35551307 ok but combined: DIAMANTE Supplementary Table 1 'DC/SP2 | Diabetic Cohort and Singapore Prospective Study Program' (T2D cases from the Diabetic Cohort, COHO:0000197, controls from SP2; GCST90132185 lists DC and SP2 separately); PGS Catalog cohort SP2 'Singapore Prospective Study Program'","Claude Opus 5.5 (Anthropic), 2026-09"
COHO:0000482,Colorado Center for Personalized Medicine Biobank,cohort,134,CCPM,CCPM,CONFIRMED,correct,"An electronic health record-linked biobank jointly developed by the University of Colorado Anschutz Medical Campus and UCHealth, enrolling adult UCHealth patients since September 2015 (more than 200,000 participants by 2022, mostly from the Rocky Mountain region), as a dual-purpose resource for genomic research and for returning clinical genetic results to participants.",PMID:38181729|https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10806731/fullTextXML,,,,,"PMID:38181729 (abstract and https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10806731/fullTextXML, 'Participant recruitment and engagement', 'Enrollment and participant summary')",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10806731/fullTextXML,"The CCPM Biobank began enrollment in September 2015 with a self-consent, paper-based process for adult participants (age ≥18 years, who could consent for themselves in English) receiving medical care at UCHealth University of Colorado Hospital.","PMID:36777996 ok (GBMI biobank 'Colorado Center for Personalized Medicine'); PMID:41644669 ok ('Colorado Center for Personalized Medicine (CCPM) Biobank population'); PMID:41419686 ok ('obtained from the biobank at the University of Colorado Anschutz Medical Campus'); PMID:36777997 ok ('Colorado Center for Personalized Medicine Biobank (CCPM)'); PMID:37949852 ok ('Colorado Center for Personalized Medicine Biobank', ref. Wiley et al.); PMID:36778051 ok (GBMI 'Colorado Center for Personalized Medicine (CCPM)'); PMID:38382466 ok (CCPM, ref. Wiley et al.); PMID:39103650 ok ('Colorado Center for Personalized Medicine (CCPM) biobank'); PMID:34237774 not named in main text (COVID-19 HGI; not checked further); PMID:42425734 not open access, not checked; PGS Catalog cohort CCPM = 'Colorado Center for Personalized Medicine Biobank' Note: CCPM also contributed to the COVID-19 Host Genetics Initiative (COHO:0000238): PMID:34237774 Supplementary Table 1 row 'Colorado Center for Personalized Medicine - CCPM | United States | CCPM | EUR' (https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-021-03767-x/MediaObjects/41586_2021_3767_MOESM6_ESM.xlsx); COHO lists no members for that aggregation yet, so a hasCohort link is optional.","Claude Opus 5.5 (Anthropic), 2026-09"
COHO:0000483,Adult Changes in Thought Study,cohort,135,ACT,ACT,CONFIRMED,correct,"A population-based prospective cohort of dementia-free adults aged 65 and older enrolled since 1994 from the membership of Kaiser Permanente Washington (formerly Group Health Cooperative) in the Seattle area, United States, and followed longitudinally to identify risk and preventive factors for dementia, with brain autopsy, genetic and abstracted medical-record data.",PMID:39595838,,,,,"PMID:39595838 (PMC11592130 full text: 'ongoing population-based prospective cohort study that began in 1994', enrols 'dementia-free persons aged 65 and older from the membership of Kaiser Permanente Washington [KPWA, previously Group Health Cooperative (GHC)]', greater Seattle area, brain autopsy and chart abstraction)|PMID:37984853 (ACT genotyping)|PMID:35552371",,,"PMID:37985223 ok; PMID:35552371 ok; PMID:37349795 ok (example); PMID:39633006 ok (ACT1/ACT2 in ADGC); PMID:33583074 ok ('healthy individuals from the Adult Change in Thought (ACT) longitudinal cohort' as PD controls); PMID:42237039 ok; PMID:38958117 ok; PMID:35156446 ok; PMID:40111762 ok. PGS ACT ('Adult Changes in Thought') used in IGAP/ADGC-based scores, same cohort. Membership in ADGC and ADSP is proposed on those rows (COHO:0000518, COHO:0000561).","Claude Opus 5.5 (Anthropic), 2026-09"
